name,state,city,address,lattitude,longitude,type
"Ather Space, Kochi",Delhi,kochi,"Ponnurunni-Chalikkavattom Rd, Ponnurunni East, Ponnurunni, Vyttila, Ernakulam, Kerala ",9.98,76.3173646,6.0
Treehouse Queens Pearl,Maharashtra,gurugram,"SH 15A, Shanti Nagar, Shivaji Nagar, Sector 11, Gurugram, Haryana ,Gurgaon",28.44,77.0315967,6.0
Kala Ghoda Cafe,Maharashtra,Mumbai,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra ",18.92,72.8320303138997,6.0
UB City,Maharashtra,bengaluru,"No 24, Vittal Mallya Road, KG Halli, D' Souza Layout, Ashok Nagar,",12.97,77.595799,6.0
Trichi Kaveri Foods Private Limited,Kerala,tiruchirappalli,"19, Main road, Annamalai Nagar",10.83,78.6845337,6.0
Signature Mall,Tamil Nadu,ghaziabad,"Shop No. 2. Ground Floor Signature Street, G-Block, Govindpuram, Ghaziabad, Uttar Pradesh ",28.69,77.486384992674,6.0
 Hotel Noida International,Maharashtra,noida,"Nagar Complex Noida Road Opposite Mercedes Showroom, Sector 11, Noida, Uttar Pradesh ,Noida",28.59,77.3282689,6.0
Carnival Cinemas Imax,Telangana,Mumbai,"Carnival Cinemas Imax, Anik Wadala Link Rd, Bhakti Park, Wadala, Mumbai, Maharashtra ,Worli",19.03,72.8809653,6.0
Hotel Parktel ,Andhra Pradesh,ghaziabad,"Omaxe Plaza, 583, Vijay Laxmi Pandit Marg, Near, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh",28.64,77.36784004418,6.0
Ardas Televentures Pvt Ltd,Andhra Pradesh,jaipur,"#147, Rathore Nagar, Amrapali Road, Vaishali Nagar",26.91,75.74876,6.0
Cue Campus,Madhya Pradesh,hubli,"B 4 chetan complex opp kims main gate Vidhyagar, PB Rd, Vidya Nagar",15.36,75.126774,6.0
Sony Center Bellad and Company,West Bengal,hubli,"Sony Center, Lamington Rd, Deshpande Nagar, Hubli",15.35,75.141651,6.0
Bellad Towers,Maharashtra,hubli,"Ground Floor Bannigida Stop, Gokul Rd ",15.35,75.126191,6.0
Uma complex,Kerala,Chennai,"No 14, Professors colony extn, Indian airforce road, East Tambaram",12.91,80.1266472,6.0
"Coffee King, Adajan",Kerala,surat,"1,2. Abhinandan Heights, Nr.madhuvan circle, LP Savani Rd, Adajan Gam, Adajan, Surat, Gujarat ",21.19,72.7900328,6.0
Oyo Townhouse 278 Rohini,Kerala,Delhi,"6-A, Pocket 27, Sector-24, Rohini, Delhi, 110085, New Delhi, Delhi",28.73,77.0841225,6.0
Ather Space Jaipur,Kerala,jaipur,"BL Tower, 2, Tonk Rd, near Sanghi Farm, Durgapura",26.85,75.794615,6.0
"Ather Space, Lajpat Nagar",Kerala,Delhi,"A-32, Feroze Gandhi Rd, Lajpat Nagar II, Delhi ",28.57,77.2368888,6.0
HiLite Mall,Kerala,calicut,"G1003, NH 66, Kozhikode Bypass, Poovangal, Kozhikode, Kerala ",11.24,75.8334487,6.0
Zozoz Pizzeria,Kerala,Hyderabad,"Rd Number 45, opposite Khazana, CBI Colony, Jubilee Hills, Hyderabad, Telangana ",17.43,78.4020035,6.0
"Heart Cup Coffee, Gachibowli",Kerala,Hyderabad,"Old Mumbai Hwy, next to HP Petrol Pump (Venkatadri Fuel Point, FCI Employees Cooperative Housing Society, Indira Nagar, Gachibowli, Hyderabad, Telangana ",17.44,78.3556014,6.0
NAKSHATRA PURE VEG,Kerala,Chennai,"No.93, Bazaar Road, Madipakkam Main Rd, Ram Nagar South, Madipakkam",12.96,80.2118897,6.0
Pepper & Tarragon Club Caffe,Gujarat,Hyderabad,"Opposite to Aparna Sarovar, Nalagandla, Telangana ",17.46,78.3088,6.0
"Ather Space, Trichy",Maharashtra,tiruchirappalli,"20/C113, 5th Cross, Thillai Nagar,Trichy - 620018",10.82,78.684925,6.0
Narahari Silk House,Gujarat,Hyderabad,"18-6-828, Lal Darwaza Rd, Balagunj, Lal Darwaza South, Lal Darwaza, Hyderabad, Telangana ",17.34,78.475397,6.0
VR Surat,Gujarat,surat,"Dumas Rd, Magdalla, Surat, Gujarat ",21.14,72.7569487,6.0
WeFix Automobile,Delhi,pune,"Plot no.27(Residential, PCNTDA, Sector 10, Shriram Colony, Bhosari, Pune, Maharashtra ,Bhosari",18.64,73.8298662608401,6.0
The Vizag Drive In,Delhi,visakhapatnam,"4-72-12, Beach Road, next to BPCL Petrol Bunk, Lawsons Bay Colony, Visakhapatnam, Andhra Pradesh ",17.73,83.3405749,6.0
"Ather Space, Visakhapatnam",Maharashtra,visakhapatnam,"Railway New Colony Rd, Sri Siddi Enclave, Railway New Colony, Visakhapatnam, Andhra Pradesh ",17.72,83.2957312,6.0
Hotel Yogi Midtown,Maharashtra,Mumbai,"Plot No DX 12,Thane - Belapur Road D' Zone Bonsari, Village, TTC Industrial Area, Turbhe, Navi Mumbai, Maharashtra ,Thane",19.06,73.0197154300262,6.0
"Breadworld, Jawahar Nagar",Maharashtra,kochi,"Subhash Chandra Bose Road,  Jawahar Nagar, Kadavanthra,  Ernakulam, Kerala ",9.972,76.3020765,6.0
"Host The Hospitality Store (Breadworld, Thykoodam)",Haryana,kochi,"Thykoodam Service Rd, Vyttila,  Thykoodam, Kochi,  Kerala ",9.961,76.31884765625,6.0
"Breadworld, Mavelipuram",Haryana,kochi,"7/5 1 6- 1, 2, 3,  Seaport u2013 Airport Rd, Mavelipuram, Kakkanad, Kerala ",10.02,76.3411644,6.0
"Breadworld, Petta",Haryana,kochi,"50/698 pushpamangalam Heritage, petta Maradu Road Near Gandhi Square",9.944,76.3354211,6.0
"Ather Space, Kozhikode",Haryana,calicut,"MCC Cross Rd, Vellayil, Kozhikode, Kerala ",11.26,75.7773662,6.0
AtherSpace JP Nagar,Maharashtra,bengaluru,"292, Outer Ring Rd, J P Nagar Phase 5",12.9,77.5908095423095,6.0
Kohinoor MCGM parking,Maharashtra,Mumbai,"Kohinoor Square, Kasaravadi, Dadar, Mumbai, Maharashtra ",19.02,72.842820210728,6.0
AtherGrid - Bhavsar,Maharashtra,nashik,"Shop No. 5, ITI Ambad Road Kartikey Nagar Stop, Kamatwade, Nashik, Maharashtra,Kuthwad",19.97,73.7468528059045,6.0
Bhavsar's AtherGrid 2,Maharashtra,nashik,"18/08, Rajratna Nagar, Pawan Nagar, Nashik, Maharashtra ",19.97,73.7559054108409,6.0
BMC Parking Runwal Greens,Maharashtra,Mumbai," Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra",19.15,72.945112,6.0
BMC Market Bhandup ,Gujarat,Mumbai,"320, 3rd Floor, BMC Market, Station Road, Bhandup West, next to Dreamz Mall, Bhandup (W, Bhandup East, Mumbai, Maharashtra",19.14,72.9371466284051,6.0
Trichy Sarathas,Maharashtra,tiruchirappalli,"No. 45, NSB Rd, Teppakulam, Tamil Nadu ",10.82,78.6959116,6.0
"Ather space, Indore",Punjab,indore,"TBC Tower, Geeta Bhawan, AB Road",22.71,75.884181,6.0
DISHKO Eatery,Uttar Pradesh,trivandrum,"TC 26, Taj Arcade, 860(1, Bakery Jct Rd, Bakery Junction, Panavila, Thycaud, Thiruvananthapuram, Kerala ",8.499,76.9542647,6.0
Charminar Chowrasta Cafe,Madhya Pradesh,visakhapatnam,"12-43/4 GF, R K Nagar, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh ",17.8,83.3473927,6.0
Best Western Ramachandra Hotel,West Bengal,visakhapatnam,"8-8-36, GNT Rd, Medical Center, Gajuwaka, Visakhapatnam, Andhra Pradesh",17.68,83.2065285,6.0
Cygnett Inn Ramachandra,West Bengal,visakhapatnam,"31-2-4/5, NH16, opp. All India Radio Station, Kurmannapalem, Visakhapatnam, Andhra Pradesh ",17.68,83.1578664,6.0
Moondru Kambam Nellai Muthu Vilas Sweets & Bakes,West Bengal,coimbatore,"#422 A, Palakkad Main Rd, near Cassino Furniture, Kuniyamuthur, Tamil Nadu ",10.96,76.954832,6.0
"CakeBee, Sulur",Jharkhand,coimbatore,"322/2 DEFENCE COLONY 2nd STREET, KADAMBADI VILLAGE, Sulur, Tamil Nadu ",11.02,77.1667265,6.0
Tiruppur Sree Annapoorna,Maharashtra,coimbatore,"Road, Rayan Kovil, Avinashi, Tamil Nadu ",11.17,77.2634385,6.0
Aastha Talkies,West Bengal,indore,"Near 452010, Patni Pura Rd, Nanda Nagar, Indore, Madhya Pradesh ",22.74,75.8841123,6.0
Ather Space Nashik,West Bengal,nashik,"Ather Space - Ather Energy's Experience Centre ( Patwa Auto Drive), Patwa EV Zone, Trimbakeshwar Rd, opp. Sebel Hotel, Nashik, Maharashtra",19.99,73.764436759524,6.0
"Just Loaf, Kozhikode",West Bengal,calicut,"Beach Rd, opp. Kozhikode Corporation Office, Mananchira, Kozhikode, Kerala , India",11.25,75.7712783,6.0
"Just Loaf, Perinthalmanna",Telangana,malappuram,"Just Loaf, Perinthalmanna Jubilee Bypass, Road, Perintalmanna, Kerala , India",10.98,76.2250874,6.0
"Hocco Eatery, Vastral",Telangana,ahmedabad,"MADHAV 99 19, Nirant Cross Rd, Mahadev Nagar Tekra, Ahmedabad, Gujarat ",22.99,72.6594584,6.0
Prestige Falcon Towers,Telangana,bengaluru,"No 19, Brunton Rd, Craig Park Layout, Ashok Nagar,",12.97,77.614552,6.0
